Date,opinion_neg,opinion_neu,opinion_pos,opinion_compound,news_neg,news_neu,news_pos,news_compound
2012-07-23,0.06899999999999999,0.7906666666666667,0.1406666666666667,0.45439999999999997,0.06899999999999999,0.7906666666666667,0.1406666666666667,0.45439999999999997
2012-07-24,0.12,0.704,0.175,0.8329,0.12,0.704,0.175,0.8329
2012-07-27,0.079,0.801,0.12,0.7269,0.079,0.801,0.12,0.7269
2012-07-30,0.174,0.692,0.134,-0.9749,0.174,0.692,0.134,-0.9749
2012-07-31,0.0775,0.7789999999999999,0.14350000000000002,0.97715,0.0775,0.7789999999999999,0.14350000000000002,0.97715
2012-08-10,0.146,0.695,0.159,0.1838,0.146,0.695,0.159,0.1838
2012-08-14,0.0865,0.8005,0.11249999999999999,0.48895,0.0865,0.8005,0.11249999999999999,0.48895
2012-08-15,0.018,0.81,0.172,0.9934,0.018,0.81,0.172,0.9934
2012-08-16,0.061,0.792,0.147,0.9927,0.061,0.792,0.147,0.9927
2012-08-17,0.051,0.875,0.074,0.743,0.051,0.875,0.074,0.743
2012-08-21,0.08066666666666666,0.7620000000000001,0.15766666666666665,0.8807,0.08066666666666666,0.7620000000000001,0.15766666666666665,0.8807
2012-08-22,0.1295,0.688,0.1825,0.48850000000000005,0.1295,0.688,0.1825,0.48850000000000005
2012-08-23,0.081,0.751,0.168,0.9494,0.081,0.751,0.168,0.9494
2012-08-27,0.074,0.738,0.189,0.9959,0.074,0.738,0.189,0.9959
2012-08-28,0.06833333333333333,0.8109999999999999,0.121,0.7307666666666667,0.06833333333333333,0.8109999999999999,0.121,0.7307666666666667
2012-08-30,0.103,0.718,0.179,0.9933,0.103,0.718,0.179,0.9933
2012-09-13,0.09366666666666668,0.7093333333333334,0.19666666666666666,0.9932,0.09366666666666668,0.7093333333333334,0.19666666666666666,0.9932
2012-09-17,0.016,0.844,0.14,0.8718,0.016,0.844,0.14,0.8718
2012-09-20,0.10200000000000001,0.757,0.14100000000000001,0.5684,0.10200000000000001,0.757,0.14100000000000001,0.5684
2012-09-24,0.050499999999999996,0.806,0.14350000000000002,0.9801500000000001,0.050499999999999996,0.806,0.14350000000000002,0.9801500000000001
2012-09-25,0.11,0.793,0.097,-0.6597,0.11,0.793,0.097,-0.6597
2012-09-26,0.043,0.755,0.202,0.9732,0.043,0.755,0.202,0.9732
2012-09-28,0.122,0.697,0.181,0.7239,0.122,0.697,0.181,0.7239
2012-10-08,0.095,0.72525,0.17975,0.9533499999999999,0.095,0.72525,0.17975,0.9533499999999999
2012-10-09,0.10533333333333333,0.7626666666666666,0.13166666666666668,0.2719,0.10533333333333333,0.7626666666666666,0.13166666666666668,0.2719
2012-10-10,0.148,0.748,0.10400000000000001,-0.556,0.148,0.748,0.10400000000000001,-0.556
2012-10-12,0.092,0.7355,0.17149999999999999,0.04415000000000002,0.092,0.7355,0.17149999999999999,0.04415000000000002
2012-10-15,0.10700000000000001,0.782,0.11099999999999999,0.06720000000000004,0.10700000000000001,0.782,0.11099999999999999,0.06720000000000004
2012-10-16,0.065,0.758,0.177,0.9755,0.065,0.758,0.177,0.9755
2012-10-18,0.11,0.6383333333333333,0.2523333333333333,0.7251666666666666,0.11,0.6383333333333333,0.2523333333333333,0.7251666666666666
2012-10-19,0.1155,0.764,0.1205,0.08200000000000002,0.1155,0.764,0.1205,0.08200000000000002
2012-10-22,0.09666666666666666,0.7886666666666667,0.11466666666666665,0.5734333333333334,0.09825,0.7845,0.11725,0.648825
2012-10-23,0.058499999999999996,0.7905000000000001,0.15133333333333332,0.84465,0.058499999999999996,0.7905000000000001,0.15133333333333332,0.84465
2012-10-24,0.16366666666666665,0.7576666666666666,0.07933333333333333,-0.8186,0.16366666666666665,0.7576666666666666,0.07933333333333333,-0.8186
2012-10-25,0.095,0.7765,0.1285,0.524,0.095,0.7765,0.1285,0.524
2012-10-26,0.11400000000000002,0.8005,0.08549999999999999,-0.09415000000000001,0.11400000000000002,0.8005,0.08549999999999999,-0.09415000000000001
2012-10-31,0.101,0.7265,0.173,0.95535,0.101,0.7265,0.173,0.95535
2012-11-09,0.14266666666666666,0.6956666666666665,0.16133333333333333,-0.2908,0.14266666666666666,0.6956666666666665,0.16133333333333333,-0.2908
2012-11-10,0.134,0.683,0.183,0.9785,0.134,0.683,0.183,0.9785
2012-11-12,0.126,0.812,0.062,-0.4521,0.126,0.812,0.062,-0.4521
2012-11-13,0.1416,0.6818,0.1768,0.5750400000000001,0.1416,0.6818,0.1768,0.5750400000000001
